y,x,street_count,elevation,highway,geometry
51.4866717,7.3778342,3,118.0,,POINT (7.3778342 51.4866717)
51.4855962,7.3750897,3,116.0,,POINT (7.3750897 51.4855962)
51.4861423,7.3749098,3,111.0,,POINT (7.3749098 51.4861423)
51.4869207,7.3761303,3,116.0,,POINT (7.3761303 51.4869207)
51.4855714,7.3756952,3,116.0,,POINT (7.3756952 51.4855714)
51.4864137,7.3767476,3,116.0,,POINT (7.3767476 51.4864137)
51.4868022,7.3768159,3,116.0,,POINT (7.3768159 51.4868022)
51.4867189,7.3768092,3,116.0,,POINT (7.3768092 51.4867189)
51.4870888,7.3773962,3,118.0,,POINT (7.3773962 51.4870888)
51.4860188,7.3772965,3,118.0,,POINT (7.3772965 51.4860188)
51.4869077,7.3756568,3,116.0,,POINT (7.3756568 51.4869077)
51.4894492,7.399373,3,125.0,,POINT (7.399373 51.4894492)
51.4894525,7.3990456,3,125.0,,POINT (7.3990456 51.4894525)
51.489406,7.3993562,4,125.0,,POINT (7.3993562 51.489406)
51.4930823,7.3753826,4,100.0,,POINT (7.3753826 51.4930823)
51.4957289,7.373764,3,92.0,,POINT (7.373764 51.4957289)
51.493049,7.375248,4,100.0,,POINT (7.375248 51.493049)
51.4961006,7.3739335,3,92.0,,POINT (7.3739335 51.4961006)
51.4867502,7.3949894,3,128.0,,POINT (7.3949894 51.4867502)
51.4881064,7.4015104,3,131.0,,POINT (7.4015104 51.4881064)
51.4911725,7.4003433,4,122.0,,POINT (7.4003433 51.4911725)
51.4933296,7.3973036,3,113.0,,POINT (7.3973036 51.4933296)
51.4938626,7.3986717,3,108.0,,POINT (7.3986717 51.4938626)
51.4952457,7.3734844,3,92.0,,POINT (7.3734844 51.4952457)
51.4961466,7.3740609,4,92.0,,POINT (7.3740609 51.4961466)
51.4962208,7.3748614,4,92.0,,POINT (7.3748614 51.4962208)
51.4962962,7.3757248,3,96.0,,POINT (7.3757248 51.4962962)
51.4919518,7.3722616,3,97.0,,POINT (7.3722616 51.4919518)
51.4915576,7.3719065,4,101.0,,POINT (7.3719065 51.4915576)
51.4914219,7.3719445,4,101.0,crossing,POINT (7.3719445 51.4914219)
51.493167,7.3753393,4,100.0,,POINT (7.3753393 51.493167)
51.4931271,7.3751949,4,100.0,,POINT (7.3751949 51.4931271)
51.4929317,7.3745484,3,98.0,,POINT (7.3745484 51.4929317)
51.4917128,7.3718743,4,97.0,traffic_signals,POINT (7.3718743 51.4917128)
51.4916387,7.3717755,4,101.0,,POINT (7.3717755 51.4916387)
51.4915766,7.371681,4,101.0,,POINT (7.371681 51.4915766)
51.4937009,7.3805588,4,107.0,,POINT (7.3805588 51.4937009)
51.4919742,7.3712096,3,97.0,,POINT (7.3712096 51.4919742)
51.4918434,7.3717079,4,97.0,traffic_signals,POINT (7.3717079 51.4918434)
51.4811932,7.3728866,3,131.0,,POINT (7.3728866 51.4811932)
51.4824909,7.3719977,3,137.0,,POINT (7.3719977 51.4824909)
51.4802025,7.3733541,3,141.0,,POINT (7.3733541 51.4802025)
51.4967047,7.3730388,3,92.0,,POINT (7.3730388 51.4967047)
51.4964165,7.3801301,2,99.0,,POINT (7.3801301 51.4964165)
51.4963952,7.3805932,2,99.0,,POINT (7.3805932 51.4963952)
51.488008,7.3725133,3,105.0,,POINT (7.3725133 51.488008)
51.4842281,7.3923885,3,137.0,,POINT (7.3923885 51.4842281)
51.4867247,7.3907986,3,128.0,,POINT (7.3907986 51.4867247)
51.4930421,7.3996299,3,113.0,,POINT (7.3996299 51.4930421)
51.4930257,7.3999235,3,113.0,,POINT (7.3999235 51.4930257)
51.4893903,7.398506,3,125.0,,POINT (7.398506 51.4893903)
51.4909398,7.3983778,3,118.0,,POINT (7.3983778 51.4909398)
51.4911744,7.3988458,3,118.0,,POINT (7.3988458 51.4911744)
51.489655,7.3962278,3,116.0,,POINT (7.3962278 51.489655)
51.4903388,7.3937654,3,120.0,,POINT (7.3937654 51.4903388)
51.4810313,7.3739229,3,141.0,,POINT (7.3739229 51.4810313)
51.486778,7.381344,3,120.0,,POINT (7.381344 51.486778)
51.4874354,7.3814629,3,120.0,,POINT (7.3814629 51.4874354)
51.4890421,7.3820741,3,112.0,,POINT (7.3820741 51.4890421)
51.4880278,7.3859182,1,116.0,,POINT (7.3859182 51.4880278)
51.4880172,7.3852353,3,115.0,,POINT (7.3852353 51.4880172)
51.485197,7.3837976,3,127.0,,POINT (7.3837976 51.485197)
51.4851252,7.3839195,3,127.0,,POINT (7.3839195 51.4851252)
51.4850274,7.3848218,3,127.0,,POINT (7.3848218 51.4850274)
51.485559,7.3834393,3,123.0,,POINT (7.3834393 51.485559)
51.4858697,7.3859117,3,122.0,,POINT (7.3859117 51.4858697)
51.4850718,7.3841549,3,127.0,,POINT (7.3841549 51.4850718)
51.4852704,7.3843075,3,127.0,,POINT (7.3843075 51.4852704)
51.4853782,7.3839726,3,127.0,,POINT (7.3839726 51.4853782)
51.4846016,7.3836065,3,127.0,,POINT (7.3836065 51.4846016)
51.4864779,7.3832661,3,120.0,,POINT (7.3832661 51.4864779)
51.4960056,7.3740354,3,92.0,,POINT (7.3740354 51.4960056)
51.4966091,7.3738775,3,92.0,,POINT (7.3738775 51.4966091)
51.4931725,7.3749437,4,98.0,crossing,POINT (7.3749437 51.4931725)
51.4918489,7.3711784,3,97.0,,POINT (7.3711784 51.4918489)
51.4945817,7.3896107,3,107.0,,POINT (7.3896107 51.4945817)
51.496294,7.3887113,3,99.0,,POINT (7.3887113 51.496294)
51.4956948,7.3879975,1,106.0,turning_circle,POINT (7.3879975 51.4956948)
51.4910733,7.3920868,3,120.0,,POINT (7.3920868 51.4910733)
51.4908811,7.3923902,3,120.0,,POINT (7.3923902 51.4908811)
51.4917318,7.3911921,4,111.0,,POINT (7.3911921 51.4917318)
51.4960578,7.3950707,3,103.0,,POINT (7.3950707 51.4960578)
51.496262,7.3933275,2,101.0,,POINT (7.3933275 51.496262)
51.495862,7.3966185,2,102.0,,POINT (7.3966185 51.495862)
51.4958137,7.3968138,2,110.0,,POINT (7.3968138 51.4958137)
51.4956726,7.3973939,3,110.0,,POINT (7.3973939 51.4956726)
51.494677,7.3975073,3,110.0,,POINT (7.3975073 51.494677)
51.4944724,7.3974707,1,110.0,,POINT (7.3974707 51.4944724)
51.4941452,7.398752,3,108.0,,POINT (7.398752 51.4941452)
51.4940249,7.3988349,3,108.0,,POINT (7.3988349 51.4940249)
51.4924344,7.3909634,4,111.0,,POINT (7.3909634 51.4924344)
51.4929509,7.3928649,3,113.0,,POINT (7.3928649 51.4929509)
51.4923719,7.3931645,3,113.0,,POINT (7.3931645 51.4923719)
51.4804634,7.3852718,3,143.0,,POINT (7.3852718 51.4804634)
51.4808741,7.38561,4,144.0,,POINT (7.38561 51.4808741)
51.4814484,7.386096,3,139.0,,POINT (7.386096 51.4814484)
51.4814441,7.3866121,3,139.0,,POINT (7.3866121 51.4814441)
51.4821363,7.3889265,1,142.0,,POINT (7.3889265 51.4821363)
51.4839497,7.3874734,4,130.0,,POINT (7.3874734 51.4839497)
51.4961609,7.3932147,2,101.0,,POINT (7.3932147 51.4961609)
51.4819879,7.3864523,3,139.0,,POINT (7.3864523 51.4819879)
51.483265,7.3866112,3,139.0,,POINT (7.3866112 51.483265)
51.4832339,7.3882191,3,142.0,,POINT (7.3882191 51.4832339)
51.4836927,7.3871149,3,130.0,,POINT (7.3871149 51.4836927)
51.4842695,7.3862392,4,130.0,traffic_signals,POINT (7.3862392 51.4842695)
