osmid,name,highway,maxspeed,width,oneway,reversed,length,lanes,geometry,service,ref,access,tunnel,bridge,junction
"[628674137, 78799015]",Borussiastraße,secondary,50,,False,False,225.516,"['2', '3']","LINESTRING (7.3749146 51.4903658, 7.3749783 51.4903419, 7.3753214 51.4902132, 7.3755676 51.4901163, 7.3758612 51.4899847, 7.3766126 51.4895986, 7.3769383 51.4894109, 7.3772251 51.4892224, 7.3774145 51.4890822)",,,,,,
39427594,,service,,,False,True,17.022,,"LINESTRING (7.3746767 51.4900926, 7.3748912 51.4900178)",parking_aisle,,,,,
966530138,,service,,,False,True,25.648,,"LINESTRING (7.3746767 51.4900926, 7.374497 51.4898909)",parking_aisle,,,,,
966530139,,service,,,False,False,19.221,,"LINESTRING (7.3746767 51.4900926, 7.374433 51.4901754)",parking_aisle,,,,,
39427582,,service,,,False,True,26.322,3,"LINESTRING (7.3746767 51.4900926, 7.3748338 51.490273, 7.3748579 51.4903007)",,,,,,
39427583,,service,,,False,False,17.467,,"LINESTRING (7.374497 51.4898909, 7.3747401 51.4898489)",parking_aisle,,,,,
39427583,,service,,,False,True,19.183,,"LINESTRING (7.374497 51.4898909, 7.3742535 51.4899732)",parking_aisle,,,,,
966530138,,service,,,False,False,25.648,,"LINESTRING (7.374497 51.4898909, 7.3746767 51.4900926)",parking_aisle,,,,,
39427585,,service,,,False,False,25.69,,"LINESTRING (7.374433 51.4901754, 7.3742535 51.4899732)",parking_aisle,,,,,
966530139,,service,,,False,True,19.221,,"LINESTRING (7.374433 51.4901754, 7.3746767 51.4900926)",parking_aisle,,,,,
39427584,,service,,,False,False,35.09,,"LINESTRING (7.374433 51.4901754, 7.3745579 51.4903161, 7.3743403 51.490391)",parking_aisle,,,,,
39427583,,service,,,False,False,17.22,,"LINESTRING (7.3731651 51.4903482, 7.3733827 51.4902732)",parking_aisle,,,,,
39427583,,service,,,False,True,9.011,,"LINESTRING (7.3731651 51.4903482, 7.3730471 51.4903824)",parking_aisle,,,,,
